Name,Metaphor,Source Word,Target word,Target word
இதயம் இடம் மாறியதே,இசையோடுசேரும் தாளம் சுதியோடுபாடும் ராகம் அதைப்போலஎந்தன் நெஞ்சம் உன்னைசேர்ந்ததே,இசையோடுசேரும் தாளம் சுதியோடுபாடும் ராகம்,எந்தன் நெஞ்சம் உன்னைசேர்ந்ததே,எந்தன் நெஞ்சம் உன்னைசேர்ந்ததே
இதயம் இடம் மாறியதே,காலம் என்னும் நதியில்,நதி,காலம்,காலம்
முழுமதி அவளது முகமாகும்,முழுமதி அவளது முகமாகும்,முழுமதி,முகமாகும்,முகமாகும்
முழுமதி அவளது முகமாகும்,மல்லிகை அவளது மணமாகும்,மல்லிகை,மணமாகும்,மணமாகும்
முழுமதி அவளது முகமாகும்,மின்னல்கள் அவளது விழியாகும்,மின்னல்,விழியாகும்,விழியாகும்
முழுமதி அவளது முகமாகும்,மௌனங்கள் அவளது மொழியாகும்,மௌனங்கள்,மொழியாகும்,மொழியாகும்
முழுமதி அவளது முகமாகும்,மார்கழி மாதத்துபனித்துளி அவளது குரலாகும்,மார்கழி மாதத்து பனித்துளி,குரல்குரலாகும்,குரல்குரலாகும்
முழுமதி அவளது முகமாகும்,மகரந்த காட்டின் மான்குட்டி அவளது நடையாகும்,மகரந்த காட்டின் மான்குட்டியின்,அவளது நடையாகும்,அவளது நடையாகும்
முழுமதி அவளது முகமாகும்,கால்தடமே பதியாத கடல்தீவு அவள்தானே,கடல்தீவு,அவள்தானே,
முழுமதி அவளது முகமாகும்,மெல்லிசையும் அவள்தானே,மெல்லிசை,அவள்தானே,
முழுமதி அவளது முகமாகும்,பொய்மான் போல் ஓடுகிறாள்,பொய்மான்,ஓடுகிறாள்,
அன்பில் அவன்,உயிரே உன்னை,உயிர்,உன்னை,
அன்பில் அவன்,நீ வானவில்லாக,வானவில்லாக,,
மன்னிப்பாயா,கடலில் மீனாக இருந்தவள் நான்,கடலில் மீனாக,நான்,
மன்னிப்பாயா,நூலில் ஆடும் மழையாகிப் போனேன்,நூலில் ஆடும் மழையாகி,,
மன்னிப்பாயா,ஓடும் நீரில் ஓர் அலைதான் நான்,ஓடும் நீரில் ஓர் அலை,நான்,
மன்னிப்பாயா,காற்றிலே ஆடும்காகிதம் நான் நீதான்என்னை கடிதம் ஆக்கினாய்,காற்றில் ஆடும் காகிதம்,நான்,
மன்னிப்பாயா,என் கலங்கரை விளக்கமே,கலங்கரை விளக்கமே,,
மன்னிப்பாயா,கானல் நீர் போலே தோன்றி,கானல் நீர்,,
விண்ணை தாண்டி வருவாயா,விண்மீனே வருவாயா,விண்மீனே,,
உசுரே போகுதே,மணி குயிலே,மணி குயிலே,,
உசுரே போகுதே,அக்கினி பழமுன்னு தெரிஞ்சிருந்தும்,அக்கினி பழமுன்னு,,
உசுரே போகுதே,பாம்பா இருந்தும் நெஞ்சு பயப்பட நினைக்கலையே,பாம்பா,,
காதல் அணுக்கள்,நீ ஆயிரம் விண்மீன் திரட்டிய புன்னகையா,ஆயிரம் விண்மீன் திரட்டிய புன்னகையா,நீ,நீ
காதல் அணுக்கள்,காந்த கண்ணில்,காந்த ,கண்,கண்
அழகிய தீயே,அழகிய தீயே,தீ,,
நெஞ்சைப் பூப்போல்,நெஞ்சைப் பூப்போல்,பூ,நெஞ்சை,நெஞ்சை
வெண்மதி வெண்மதியே,வெண்மதி,வெண்மதி,,
நீயில்லாமல் வாழ்வது லேசா,கண்ணன் வண்ணம்,கண்ணன்,வண்ணம்,வண்ணம்
கல்யாணம்தான் கட்டிக்கிட்டு,ஐயனாா் போல,ஐயனாா்,,
என்னை கொஞ்சம்மாற்றி,பறவைகள் போலவே,பறவைகள்,,
உயிரின் உயிரே,காலை பணியாக,காலை பணி,,
அண்டங்காக்கா கொண்டகாரி,அண்டங்காக்கா கொண்டை,அண்டங்காக்கா,கொண்டை,கொண்டை
அண்டங்காக்கா கொண்டகாரி,உன்ன தேக்கடியில் யானை போல நினைச்சேன்,தேக்கடியில் யானை,நினைத்தல்,நினைத்தல்
அண்டங்காக்கா கொண்டகாரி,உன்ன நாக்கடியில் கற்கண்டாக ஒளிச்சேன்,நாக்கடியில் கற்கண்டாக,மறைத்தல்,மறைத்தல்
சந்தனத் தென்றலை,இதயம் ஒரு கண்ணாடி உனது விம்பம் விழுந்ததடி,கண்ணாடி,இதயம்,இதயம்
கலகலவெனப் பொழியும்,யாரைக் கேட்டது இதயம் விழி தொடுவது விரல் தொடவில்லை,விழி தொடுவது,,
கண்ணாமூச்சி ஏனடா,என் மனம் உனக்கொரு விளையாட்டு பொம்மையா,விளையாட்டு பொம்மை,மனம்,மனம்
ராஜ்யமா இல்லை இமயமா,கேள்வியாய் வாழ்கிறான் மௌனத்தை ஆள்கிறான்,கேள்வி,வாழ்க்கை,வாழ்க்கை
மாயா மாயா,தாமரை இலை தண்ணீர் போல் நீ என்னை எண்ணாமல் இரு,தாமரை இலை தண்ணீர்,,
ஒரு நண்பன் இருந்தால்,கடலில் நதிகள் பெயர் கலந்தது இந்த நட்பில் எங்கள் உயிர் கலந்தது,கடலில் நதிகள் பெயர் கலந்தது,நட்பு,நட்பு
ச ரி க மே ப த னி சே,குட்டி சுவர் ஏறி வெட்டி கதை பேசிகாதல் ஜாலியில் பாடம் காலி தோழா,குட்டி சுவர் ஏறி,படிப்பை விடுதல்,படிப்பை விடுதல்
காலையில் தினமும்,இமை போல் இரவும் பகலும் எனை காத்த அன்னையே,இமை,எனை காத்த அன்னையே,எனை காத்த அன்னையே
சண்ட கோழி கோழி,சைவ முத்தம் கொடுத்த ஒத்து போக மாட்டேன்,சைவ,கன்னத்தில்,கன்னத்தில்
மயிலிறகே மயிலிறகே,அமிர்தாய் அமிர்தாய் அமிர்தாய் கவி ஆற்றிட நீ வருவாய்,அமிர்தாய்,கவி,கவி
நியூயார்க் நகரம்,நீயும் வந்தால் செந்தணல் கூட பனிகட்டி போல மாறும்,செந்தணல் கூட பனிகட்டி போல மாறும்,,
முன்பே வா என் அன்பே வா,நீரும் செம்புல சேறும் கலந்தது போலே,நீரும் செம்புல சேறும் கலந்தது,,
நான் முத்தம் தின்பவள்,ஒரு முரட்டு பூ இவள்,முரட்டு பூ,இவள்,
வளையபட்டி தவிலே,நீ கை கால் முளைத்த மத்தளமா உன்னை வாசிக்க பின்னால் சுத்தனுமா,கை கால் முளைத்த மத்தளமா,நீ,நீ
எல்லாப் புகழும்,நீ நதி போலே ஓடிக் கொண்டிரு,நதி,,
Taxi Taxi,உன் தோள்கள் ஏணியைப் போல் ஏறி மிதித்தேன் தாங்கினாய்,ஏணி,தோள்,தோள்
காதல் அணுக்கள்,காதல் கொள்ளும் மனித பூச்சி கண்களை கண்டு தான் ருசி அறியும்,ருசி அறியும்,,
இரும்பிலே ஒரு இதயம்,கூகுள் காணாத தேடல்கள் என்னோடு காலங்கள் காணா காதல்,கூகுள் காணாத தேடல்,,
அரிமா அரிமா,இவன் உலகம் தாண்டிய உயரம் கொண்டதில் நிலவு நிலவு தலைமுட்டும்,நிலவு தலைமுட்டும்,,
புதிய மனிதா,அழியாத உடலோடு வடியாத உயிரோடு,அழியாத உடலோடு ,,
கோடு போட்டா,ஊரான் வீட்டு சட்டத்துக்கு ஊரு நாடு மசியாது மேகம் வந்து சத்தம் போட்டா ஆகாயம் தான் கேட்காது,மேகம் வந்து சத்தம் போட்டா ஆகாயம் தான் கேட்காது,,
காட்டுச் சிறுக்கி,அவ பார்வையில் எலும்புக பல்பொடி ஆச்சே,எலும்புக பல்பொடி ஆச்சே,,
கிளிமஞ்சாரம்,அட நூறு கோடி தசை ஒவ்வொன்றிலும் உந்தன் பேரே இசை,தசை ஒவ்வொன்றிலும் உந்தன் பேரே இசை,,
பூம் பூம்,வாயுண்டு ஆனால் வயிறில்லை பேச்சுண்டு மூச்சு இல்லை நாடி உண்டு,மூச்சு இல்லை,,
கள்வரே கள்வரே,என் ஆசை நீயே சொன்னால் கண்ணாலே ஆமாம் என்பேனே,கண்ணாலே ஆமாம் என்பேனே,,
கொம்பன் சுறா,நான் ஒத்தையில் பாடுகிறேன் தன்னாலே இந்த பாலா வன பாறைகளின் முன்னால்,பாலா வன பாறைகளின் முன்னால்,,
இன்னும் கொஞ்சம் நேரம்,மழை போல நீ வந்தால்,மழை,,
இன்னும் கொஞ்சம் நேரம்,கடல் போல நான் இருப்பேன், கடல்,,
நெஞ்சுக்குள்ள,காச நோய்க் காரிகளும் கண்ணுறங்கும் வேளையில ஆசநோய் வந்தமக அரை நிமிசம் தூங்கலையே,காச நோய் காரிகள் தூங்கும் நேரம்,,
காதல் கணவா,கடிவாளக் குதிரையாக எனைதான் நீயும் இழுத்தாயே,கடிவாள குதிரை,,
நானே வருகிறேன்,பொல்லாத என் இதயம் ஏதோ சொல்லுதே நில்லாத என் உயிரோ எங்கோ செல்லுதே,பொல்லாத என் இதயம்,,
மோனா மோனா,நா கன்னி கணினி போல் பூட்டி கிடந்தேன் முத்தம் வெச்சு நீ தொறக்க காதல் சுமந்தேன்,கன்னி கணினி,,
ஒரு மாலை,சக்கரை நிமிடம்,சக்கரை,,
ரஹதுள்ளா ரஹதுள்ளா,மாசில்லா வெண்ணிலாவே,வெண்ணிலாவே,,
ரங்கோலா ஹோலா ஹோலா,குருங்கடல் போல குதிக்குது ஆசை குளிக்கலாம்,குருங்கடல்,ஆசை,ஆசை
சுற்றும் விழி சுடரே,மரம்கொத்தி பறவை ஒன்று மனம் கொத்தி போனது,மனம் கொத்தி போனது,,
எக்ஸ் மச்சி ஒய் மச்சி,குறுக்கு எழுத்து புதிர் நானே,குறுக்கு எழுத்து புதிர்,,
ஜுன் போனால்,நிலவினை சலவை செய்,நிலவினை சலவை செய்,,
முதல் நாள் இன்று,குளிர்போலே காதல்,குளிர்,காதல்,காதல்
சிறு சிறு உறவுகள்,கசக்குது என் இளமையும்,கசக்குது,,
வைகாசி நிலவே,வைகாசி நிலவே,வைகாசி நிலவே,,
எனதுயிரே எனதுயிரே,எனதுயிரே,எனதுயிரே,,
முதல் மழை,கையை மீறும் ஒரு குடையாய்,குடையாய்,,
ஒரு முகமோ இரு முகமோ,இடியின் மடியில் தினம்,இடியின் மடியில்,,
ரகசிய கனவுகள்,மறுபடி ஒருமுறை பிறந்தேனே,மறுபடி ஒருமுறை பிறந்தேனே,,
ரங்கு ரங்கம்மா,யுத்தக் கப்பல் இவதானே,யுத்தக் கப்பல்,,
சிறு பார்வையாலே,வந்த மல்லிப்பூவே,மல்லிப்பூ,,
ஆறடி காத்தே,ஆறடி காத்தே,ஆறடி காத்தே,,
செல்லமே செல்லமே,மின்னலே உன்னைக் கண்டேனே,மின்னலே,,
கற்க கற்க,சாவை சட்டை பையில்,சட்டை பை,,
மஞ்சள் வெயில்,உலகத்தில் கடைசி நாள் இன்று தானா என்பது போல்,உலகத்தில் கடைசி நாள் இன்று,,
நெருப்பே சிக்கி முக்கி,நெருப்பே சிக்கி முக்கி நெருப்பே,நெருப்பே,,
பார்த்த முதல் நாளே,ஓர் அலையாய் வந்து,அலையாய்,,
ஆரிய உதடுகள்,சிறு தேய்பிறை முழு நிலவாகும்,தேய்பிறை முழு நிலவாகும்,,
செல்லகிளியோ,இரு நதியை போலே,இரு நதி,,
காதலிக்கும் ஆசை,செய்து வைத்த ஒளி சிற்பமொ,ஒளி சிற்பமொ,பெண்,
கும்மியடி,லட்சம் குயில் பாடட்டும்,லட்சம் குயில் பாடட்டும்,வாழ்க்கை,வாழ்க்கை
வெள்ளைகார முத்தம்,பல நட்சத்திரம் சிதறுது கண்ணில்,பல நட்சத்திரம் சிதறுது,சந்தோசம்,சந்தோசம்
மருத மலை அடிவாரம்,சிரிச்சாலே லைட் ஹவுஸ பாத்தேன்னு,லைட் ஹவுஸ,சிரிப்பு,சிரிப்பு
ஒட்டியாணம் செஞ்சு தாரேன்,தங்க வடமே இந்த,தங்க வடமே,பெண்,
பத்து விரல் உனக்கு,கண்ணே சிறு கொலைகள்,சிறு கொலை,பார்வையின் கூர்மை,பார்வையின் கூர்மை
புண்ணாக்குன்னு,நீ ஐநா சபை போல,ஐநா சபை,அமைதி,அமைதி
சூடாமணி மச்சினியே,சித்தெறும்பு போல முத்தம் கொடுத்தால்,சித்தெறும்பு,முத்தம்,முத்தம்
ஹலோ மிஸ் இம்சையே,கற்கண்டுப் பேச்சும்,கற்கண்டு,பேச்சு,பேச்சு
இளமை உல்லாசம்,அழகுப்பூக்கள் முகம்பார்த்து,அழகுப்பூக்கள்,முகம்,முகம்
நீ இல்லை என்றால்,அவ்வாா்த்தை போல் என்னைகூா் வாளும் கொல்லாது,வாா்த்தை,வார்த்தை,வார்த்தை
நீ இல்லை என்றால்,மழை போலே உடல் வோ்த்து கொட்டும்,மழை,உடல் வியர்தல்,உடல் வியர்தல்
என் அன்பே,என் உடல் இன்று கடல் ஆனதே,கடல்,உடல்,உடல்
என் அன்பே,விழி பட்ட இடம்இன்று உளி பட்ட சிலையாக,உளி பட்ட சிலை,விழி பட்ட இடம்,விழி பட்ட இடம்
சின்ன சின்னதாய்,என் நெஞ்சை முட்களால் தைத்தாய்,முட்களால் தைத்தாய்,காதலியின் பார்வை,காதலியின் பார்வை
சின்ன சின்னதாய்,அடை மழையாய் வந்தாய்,அடை மழை,பெண்,
சின்ன சின்னதாய்,என் நிழலாய் வந்தாய்,நிழலாய்,பெண்,
கண்ணின் காந்தமே,கண்ணின் காந்தமே,காந்தமே,பெண்ணின் கண்,பெண்ணின் கண்
கண்ணின் காந்தமே,நீ இரண்டாம் தாயே,இரண்டாம் தாயே,பெண்,
தேவதையை கண்டேன்,தேவதையை கண்டேன்,தேவதை,பெண்,
தேவதையை கண்டேன்,ஒரு வண்ணத்துபூச்சி எந்தன் வழிதேடி வந்தது,வண்ணத்துபூச்சி,பெண்,
கண் பேசும் வார்த்தைகள்,கண்ணாடி இதயம் இல்லை,கண்ணாடி,இதயம்,இதயம்
நிஜமா நிஜமா,ஒரு மரங்கொத்தி பறவைமனம் கொத்தி போகுதே,மரங்கொத்தி பறவை,பெண்,
நிஜமா நிஜமா,வேற்று கிரகம் போலே இன்று எனக்கு எந்தன் வீடு ஆனதே,வேற்று கிரகம்,அவன் வீடு,அவன் வீடு
நிஜமா நிஜமா,முல்லையே,முல்லை,பெண்,
வைத்த கண்,வெண்ணிலா வேர்க்குது பாரம்மா,வெண்ணிலா,பெண்,
சாமிகிட்ட சொல்லிப்புட்டேன்,போட்ட காதல் கோலம்,கோலம்,காதல்,காதல்
சாமிகிட்ட சொல்லிப்புட்டேன்,நெஞ்சக் குளத்தில் படிஞ்ச காதல்,குளத்தில்,நெஞ்சு,நெஞ்சு
சக்க போடு,சவுக்கு கண்ணால,சவுக்கு,பெண்ணின் கண்,பெண்ணின் கண்
சக்க போடு,மீனுக்குஞ்சு போல துள்ளி,மீனுக்குஞ்சு,பெண்,
சக்க போடு,வடிச்ச சோறுபோலத்தான் ஆவி பறக்குற,வடிச்ச சோறு,காதலி,
தாவணி போட்ட தீபாவளி,தாவணி போட்ட தீபாவளி,தீபாவளி,பெண்,
தாவணி போட்ட தீபாவளி,பட்டாம் பட்டாம் பூச்சி,பட்டாம் பூச்சி,பெண்,
தாவணி போட்ட தீபாவளி,பம்பரத்த போல நானும் ஆடுறேனே,பம்பரத்த,ஆண்,
தாவணி போட்ட தீபாவளி,கிழக்கு மேல விளக்கு போல இருக்க வந்தாலே,விளக்கு,பெண்,
தாவணி போட்ட தீபாவளி,முறுக்கு போல உடைச்சு தின்னாலே,முறுக்கு,காதலன்,
தாவணி போட்ட தீபாவளி,ஆனாலும் நீ ஏஞ்சலு,ஏஞ்சலு,பெண்,
ஏனோ கண்கள்,நூறு கோடி மான்கள்ஓடும் வேகம் போலஇருதயம் துடிக்கிறதே,நூறு கோடி மான் ஓடும் வேகம்,இருதயம் துடித்தல்,இருதயம் துடித்தல்
ஏனோ கண்கள்,புரியாதொரு வேட்கைபூ போல மலர்கிறதா,வேட்கைபூ,புதியதொரு வேட்கை,புதியதொரு வேட்கை
ஏனோ கண்கள்,தொட்டால் தீ போல சுடுகிறதா,தீ,பெண்ணின் தொடுகை,பெண்ணின் தொடுகை
தாஜ்மஹால் ஓவிய காதல்,தாஜ்மஹால் ஓவிய காதல்,தாஜ்மஹால் ஓவிய,காதல்,காதல்
தாஜ்மஹால் ஓவிய காதல்,தேவதாஸ் காவிய காதல்,தேவதாஸ் காவிய,காதல்,காதல்
தாஜ்மஹால் ஓவிய காதல்,இந்த உறவு இறுதி வரைக்கும்இறைவன் போல் இங்கே வாழும்,இறைவன்,உறவு,உறவு
கருப்பான கையாலே,கோவப்பழமா கலரு,கோவப்பழமா,பெண்ணின் நிறம்,பெண்ணின் நிறம்
கருப்பான கையாலே,உருக்கி வச்ச இரும்பு போல உதடு,உருக்கி வச்ச இரும்பு,பெண்ணின் உதடு,பெண்ணின் உதடு
கருப்பான கையாலே,வெட்டும் புலி தீப்பெட்டிப்போல் கண்ணு,தீப்பெட்டி,பெண்ணின் கண்,பெண்ணின் கண்
காதல் வைத்து,காதல் என்னும் கடலுக்குள் நான் விழுந்தேன்,கடலுக்குள்,காதல்,காதல்
காதல் வைத்து,தேவதை,தேவதை,பெண்,
காதல் வைத்து,உன்னை கண்டநாள் ஒலி வட்டம் போல்உள்ளுக்குள்ளே சுழலுதடி,ஒலி வட்டம்,அவளை கண்ட நாள்,அவளை கண்ட நாள்
போகாதே,காலங்கள் யாவும் கனவாய்,கனவாய்,காலம்,காலம்
போகாதே,கண் தூங்கும்நேரம் பாா்த்து கடவுள் வந்து போனதுபோல் என் வாழ்வில் வந்தே,கண் தூங்கும்நேரம் பாா்த்து கடவுள் வந்து போனது,வாழ்வில் நுழைதல்,வாழ்வில் நுழைதல்
யாரோ,கொக்கை போல நாள்தோறும்ஒற்றை காலில் நின்றேன்,கொக்கை,ஆண்,
யாரோ,கண்மணி,கண்மணி,பெண்,
யாரோ,காற்றில் வைத்த சூடம் போலேகாதல் தீர்ந்து போகாது,காற்றில் வைத்த சூடம்,காதல்,காதல்
யாரோ,உந்தன் ஆடை காயப் போடும்உந்தன் வீட்டு கம்பி கொடியாய்என்னை எண்ணினேன்,கம்பி கொடியாய்,ஆண்,
பேசுகிறேன்,பேசுகிறேன் பேசுகிறேன்உன் இதயம் பேசுகிறேன்,உன் இதயம்,ஆண்,
அழகு குட்டி செல்லம்,நீ என் மின்மினி,மின்மினி,குழந்தை,
அழகு குட்டி செல்லம்,ரோஜா பூ கை ரெண்டும்,ரோஜா பூ,குழந்தை கை,குழந்தை கை
அரபு நாடே,என் கண்மணி,கண்மணி,பெண்,
அரபு நாடே,கவிஞன் உமர்கயாமின் கவிதையா,கவிஞன் உமர்கயாமின் கவிதையா,பெண்,
அரபு நாடே,என்னுடைய பார்வை கழுகு பார்வை தெரிஞ்சுக்கோ,கழுகு பார்வை,ஆணின் கண் கூர்மை,ஆணின் கண் கூர்மை
அரபு நாடே,வெண்ணிலாவின்தேகம் மூடும் மேகம்,வெண்ணிலா,பெண்,
பறவையே எங்கு இருக்கிறாய்,பறவையே எங்குஇருக்கிறாய்,பறவையே,பெண்,
பறவையே எங்கு இருக்கிறாய்,நீ போட்ட கடிதத்தின்வரிகள் கடலாக ,கடலாக,கடிதத்தின் வரிகள்,கடிதத்தின் வரிகள்
பறவையே எங்கு இருக்கிறாய்,அதில்மிதந்தேனே பெண்ணேநானும் படகாக,படகாக,,
பறவையே எங்கு இருக்கிறாய்,ஏழை காதல்மலைகள் தன்னில்தோன்றுகின்ற ஒரு நதியாகும்,நதியாகும்,ஏழை காதல்,ஏழை காதல்
எங்கேயோ பார்த்த மயக்கம்,தேவதை இந்த சாலை ஓரம்,தேவதை,பெண்,
